"","Agency_cd","Name","Site_no","Datetime","Tz_cd","Ph","Ph-Status","Do","Do-Status","Sc","Sc-Status","Turb_fnu","Turb-Status","Wl_elev","Wl_elev-Status","Temp_c","Temp-Status","Q_cfs","Q-Status","Stage_ft","Stage - Status","Precip_in","Precip-Status","Waterbody","Lcod","Ecoli_mpn","Fecal_cfu","Turbidity_ntu"
"148","USGS","Pearson","3451500","1658837940","EDT","7","P","7.8","P","54","P","8.9","P","1951.5","P","24.5","P","1010","P","1.57","P","0","P","FBR","FRBECOLI2","90.6","130","8.3"
"149","USGS","Pearson","3451500","1658999940","EDT","6.9","P","7.3","P","53","P","9.4","P","1951.47","P","24.6","P","975","P","1.54","P","0","P","FBR","FRBECOLI2","158","130","7.9"
"150","USGS","Pearson","3451500","1659440940","EDT","6.8","P","7.8","P","55","P","21.7","P","1951.77","P","22.6","P","1370","P","1.84","P","0","P","FBR","FRBECOLI2","343","360","26"
"151","USGS","Pearson","3451500","1659606000","EDT","6.8","P","7.6","P","56","P","17.4","P","1951.72","P","23.3","P","1300","P","1.79","P","0","P","FBR","FRBECOLI2","271","290","17"
"152","USGS","Pearson","3451500","1660037340","EDT","6.7","P","7.7","P","41","P","28.2","P","1951.8","P","22.9","P","1410","P","1.87","P","0","P","FBR","FRBECOLI2","345","600","32"
"153","USGS","Pearson","3451500","1660211400","EDT","6.8","P","7.9","P","43","P","19.2","P","1951.71","P","22.1","P","1290","P","1.78","P","0","P","FBR","FRBECOLI2","418","320","27"
"154","USGS","Pearson","3451500","1660643700","EDT","7","P","7.9","P","44","P","14.8","P","1951.53","P","22.2","P","1050","P","1.6","P","0","P","FBR","FRBECOLI2","179","170","12"
"155","USGS","Pearson","3451500","1660821960","EDT","6.9","P","8.1","P","45","P","22","P","1951.67","P","21.3","P","1230","P","1.74","P","0","P","FBR","FRBECOLI2","2420","1800","23"
"156","USGS","Pearson","3451500","1661249220","EDT","6.7","P","7.9","P","40","P","42.6","P","1952.01","P","20.5","P","1730","P","2.08","P","0","P","FBR","FRBECOLI2","774","1000","50"
"157","USGS","Pearson","3451500","1661419860","EDT","7.1","P","7.9","P","46","P","18.3","P","1951.71","P","21.4","P","1290","P","1.78","P","0","P","FBR","FRBECOLI2","162","190","21"
"158","USGS","Pearson","3451500","1661857260","EDT","7.2","P","7.8","P","48","P","11.4","P","1951.5","P","22.8","P","1010","P","1.57","P","0","P","FBR","FRBECOLI2","106","1800","12"
"159","USGS","Pearson","3451500","1662628020","EDT","6.6","P","7.2","P","30","P","28.2","P","1954.15","P","20.9","P","5730","P","4.22","P","0","P","FBR","FRBECOLI2","216","320","30"
